식품코드,식품코드명
1026,"밀, 빵가루"
1052,"과자, 건빵"
1054,"빵, 곰보빵"
1055,"빵, 도넛, 링"
1058,"빵, 도넛, 팥"
1059,"빵, 롤빵, 소프트"
1061,"빵, 마늘빵"
1062,"과자, 만주, 밤"
1063,"빵, 머핀, 우유"
1065,"과자, 모나카"
1066,"빵, 모닝빵"
1069,"과자, 비스킷, 소프트"
1071,"과자, 사과파이"
1076,"샌드위치, 햄, 치즈"
1077,"과자, 전병"
1078,"과자, 전병, 김"
1081,"과자, 스낵, 새우"
1082,"과자, 스낵, 옥수수"
1084,"빵, 식빵"
1085,"빵, 식빵, 우유"
1086,"빵, 식빵, 옥수수"
1087,"빵, 모카빵"
1089,"과자, 약과"
1091,"빵, 옥수수빵"
1092,"빵, 와플"
1093,"빵, 와플, 커스터드 크림"
1094,"빵, 와플, 잼"
1095,"과자, 바닐라 웨하스"
1096,"빵, 잼빵"
1098,"과자, 초코볼"
1099,"과자, 초코파이"
1100,"빵, 카스텔라"
1104,"케이크, 롤 케이크"
1105,"케이크, 생크림 블루베리"
1108,"케이크, 스폰지 케이크"
1110,"케이크, 초콜릿 케이크"
1111,"케이크, 치즈 케이크"
1113,"케이크, 파운드 케이크"
1114,"케이크, 과일(후르츠)"
1115,"과자, 쿠키, 땅콩버터"
1116,"과자, 쿠키, 초코칩"
1117,"과자, 쿠키, 버터"
1118,"과자, 크랙커"
1119,"과자, 크래커, 땅콩샌드"
1120,"과자, 크래커, 치즈샌드"
1121,"빵, 크루아상"
1124,"빵, 크로켓"
1125,"빵, 크림빵"
1126,"빵, 팥빵"
1127,"빵, 페이스트리, 과일"
1128,"빵, 페이스트리, 치즈"
1129,"케이크, 팬케이크"
1131,"푸딩, 커스터드"
1133,"빵, 피칸파이"
1138,"빵, 찐빵, 팥"
1139,"빵, 찐빵, 채소"
1156,"수수떡, 수수경단"
1158,"시리얼, 옥수수"
1159,"시리얼, 쌀"
1160,"시리얼, 옥수수, 아몬드"
1161,"시리얼, 옥수수, 코코아"
1163,"시리얼, 현미"
1211,"멥쌀떡, 가래떡"
1212,"멥쌀떡, 개피떡(바람떡)"
1213,"멥쌀떡, 개피떡(바람떡), 쑥"
1214,"멥쌀떡, 꿀떡"
1215,"멥쌀떡, 백설기"
1217,"멥쌀떡, 송편, 검정콩"
1218,"멥쌀떡, 송편, 깨"
1219,"멥쌀떡, 송편, 팥"
1220,"멥쌀떡, 시루떡, 팥"
1221,"멥쌀떡, 절편"
1222,"멥쌀떡, 증편"
1228,"멥쌀, 현미, 발아현미, 생것"
1230,"멥쌀, 백미, 가루"
1231,"멥쌀 과자, 쌀엿강정, 팽화"
1232,"멥쌀 과자, 튀밥, 팽화"
1233,멥쌀 과자
1234,"찹쌀 과자, 전병"
1239,"찹쌀떡, 경단 카스텔라"
1240,"찹쌀떡, 약식"
1241,"찹쌀떡, 인절미, 콩고물"
1242,"찹쌀떡, 인절미, 팥고물"
1243,"찹쌀떡, 찰시루떡"
1244,찹쌀떡
1247,"찹쌀 과자, 산자"
1248,"찹쌀 과자, 유과"
1259,"옥수수, 가루"
1261,"옥수수, 통조림, 가당"
1263,"옥수수, 통조림, 홀커넬"
1276,호밀빵
1278,"옥수수 과자, 팝콘, 캐러멜맛"
1280,"빵, 베이글"
1284,"미숫가루, 혼합곡물"
1302,"빵, 꽈배기"
1303,"찹쌀빵, 찹쌀도넛"
1304,"빵, 크림빵, 버터"
1305,"빵, 바게트"
1306,"빵, 페이스트리"
1307,"빵, 크로켓, 채소"
1316,"멥쌀떡, 모싯잎송편, 동부"
1318,"멥쌀떡, 무지개떡"
1319,"찹쌀떡, 모듬찰떡"
1323,"멥쌀떡, 백설기, 검정콩"
1332,"과자, 쿠키, 통밀"
1333,"과자, 크래커, 채소"
1334,"과자, 뻥튀기, 원반 모양, 팽화"
1335,"과자, 마카로니"
1340,"빵, 붕어빵, 팥"
1341,"빵, 소시지빵"
1342,"빵, 난"
1346,"시리얼, 옥수수, 그래놀라, 코코넛"
1347,"시리얼, 옥수수, 그래놀라, 건조과일"
1353,"옥수수 과자, 강냉이"
1354,"옥수수 과자, 팝콘, 전자레인지 조리"
2009,감자 샐러드
2011,"감자 과자, 감자칩, 튀긴것"
2012,"감자 튀김, 튀긴것"
2013,"감자 튀김, 해시브라운, 튀긴것"
3004,꿀
3006,"꿀, 밤"
3008,"꿀, 아카시아"
3009,"꿀, 잡화"
3010,"꿀, 토종"
3011,로얄제리
3014,물엿
3017,"사탕, 드롭스"
3018,"사탕, 마쉬멜로"
3019,"사탕, 박하사탕"
3020,"사탕, 버터"
3024,"설탕, 백설탕"
3025,"설탕, 황설탕"
3026,"설탕, 흑설탕"
3027,"설탕, 각설탕"
3029,"설탕, 가루"
3030,"시럽, 단풍나무"
3032,"시럽, 초콜릿"
3036,"양갱, 팥"
3037,"엿, 고구마"
3040,"젤리, 구미"
3041,"초콜릿, 다크 초콜릿"
3042,"초콜릿, 땅콩 초콜릿"
3043,"초콜릿, 밀크 초콜릿"
3044,"초콜릿, 크런치 초콜릿"
3045,"초콜릿, 밀크 아몬드 초콜릿"
3047,"초콜릿, 화이트 초콜릿"
3048,"초콜릿, 스위트 초콜릿"
3051,"캐러멜, 우유"
3063,"껌, 무설탕"
3066,"사탕, 땅콩"
3067,"초코바, 땅콩 캐러멜"
3068,"초코바, 쿠키 캐러멜"
6381,토마토 음료
6382,"토마토, 통조림"
6383,"토마토, 통조림, 페이스트"
6384,"토마토, 통조림, 퓨레"
6385,"토마토, 방울토마토, 생것"
6386,"토마토, 흑토마토, 생것"
6518,당근 주스
6643,호박즙
6646,채소 주스
6647,"채소 주스, 녹즙"
8013,"귤 주스, 천연과즙"
8016,"귤, 통조림"
8020,"구아바 주스, 과즙 음료(10%)"
8026,"자몽(그레이프프루트) 주스, 가당, 캔"
8038,"딸기, 잼"
8040,"라임 주스, 천연과즙"
8043,레몬 과즙
8050,매실청
8051,"매실 절임, 염절임, 고형물"
8082,"복숭아, 잼"
8084,"복숭아, 황도, 통조림"
8086,"블루베리, 잼"
8096,사과 주스
8097,사과 음료
8100,"사과, 잼"
8107,"살구, 잼"
8122,오렌지 주스
8126,오렌지 마멀레이드
8142,"크랜베리 주스, 칵테일"
8148,"파인애플 주스, 캔"
8150,"파인애플, 통조림, 고형물"
8153,"백향과(패션프루트) 주스, 황색과육"
8161,포도 주스
8163,포도즙
8170,"프루트칵테일, 통조림"
8199,오미자청
8210,유자청
8226,"배 음료, 캔"
8229,"복숭아, 황도, 통조림, 고형물"
8244,"체리, 통조림, 고형물"
8249,키위 주스
8250,"파인애플, 통조림, 액즙"
13015,"우유, 가공우유, 딸기맛"
13016,"우유, 가공우유, 바나나맛"
13017,"우유, 가공우유, 초코맛"
13018,"우유, 가공우유, 커피맛"
13020,셔벗
13021,아이스밀크
13022,"아이스크림, 유지방 12%"
13023,"아이스크림, 유지방 8%"
13024,"아이스크림, 딸기맛"
13025,"아이스크림, 바닐라맛"
13026,"아이스크림, 초콜릿맛"
13027,"아이스크림, 소프트 아이스크림, 바닐라맛"
13028,"요구르트, 액상"
13029,"요구르트, 호상, 딸기맛"
13030,"요구르트, 호상, 플레인"
13046,"요구르트, 액상(농후), 딸기맛"
13049,"요구르트, 액상(농후), 식이섬유 첨가"
13050,"요구르트, 액상(농후), 사과맛, 식이섬유 첨가"
13052,"요구르트, 액상(농후), 플레인, 식이섬유 첨가"
13053,"요구르트, 호상, 망고맛"
15002,레모네이드
15005,매실 음료
15008,"셰이크, 딸기맛"
15009,"셰이크, 바닐라맛"
15010,"셰이크, 초콜릿맛"
15011,"식혜, 캔"
15012,"이온 음료, 레몬향"
15014,"탄산 음료, 레몬소다"
15015,"탄산 음료, 오렌지소다"
15017,"탄산 음료, 파인애플소다"
15018,"탄산 음료, 포도소다"
15019,"탄산 음료, 사이다"
15020,"탄산 음료, 소다수"
15022,"탄산 음료, 콜라"
15023,"탄산 음료, 저칼로리콜라"
15025,토닉워터
15029,"막걸리, 알코올 6%"
15030,매실주
15031,"맥주, 알코올 4.5%"
15034,"맥주, 흑맥주, 알코올 4.2%"
15035,"보드카, 알코올 40%"
15038,"샴페인, 알코올 6%"
15039,"소주, 알코올 25%"
15042,"위스키, 알코올 40%"
15046,"청주, 알코올 16%"
15047,"칵테일, 다이키리"
15048,"칵테일, 테킬라썬라이즈"
15059,"포도주, 백포도주, 알코올 12%"
15060,"포도주, 적포도주, 알코올 12%"
15084,"커피, 커피가루, 인스턴트"
15085,"커피, 커피가루, 디카페인"
15087,"커피, 아메리카노(2샷)"
15088,"커피, 캔"
15089,"코코아, 밀크코코아, 가루"
15121,쌀 음료
15122,"커피, 커피가루, 설탕, 크림, 인스턴트"
15125,알로에 음료
15126,망고 음료
15137,"홍차, 복숭아, 캔"
15141,"혼합 음료, 비타민C 함유"
15144,"탄산 음료, 요구르트소다"
15145,"고량주, 알코올 50%"
15146,"복분자주, 알코올 15%"
15147,"소주, 알코올 17.8%"
15149,"포도주, 적포도주, 알코올 13%"
15152,"녹차라떼, 가루"
15153,"커피, 커피가루, 설탕, 인스턴트"
15155,생강청
15156,"코코아, 가루"
15157,홍삼 음료
15158,"홍차, 복숭아, 가루"
20002,"시리얼,아몬드푸레이크(농심켈로그)"
20007,"시리얼,콘푸레이크(농심켈로그)"
20008,"시리얼,콘푸로스트(농심켈로그)"
20010,"시리얼,하니첵스(농심켈로그)"
20011,"시리얼,현미푸레이크(농심켈로그)"
20012,"시리얼,후르트링(농심켈로그)"
20015,"시리얼,포스트아몬드후레이크(동서식품㈜)"
20016,"시리얼,포스트코코볼(동서식품㈜)"
20019,"시리얼,포스트현미후레이크(동서식품㈜)"
23032,"요구르트(액상),불가리스(사과)(남양유업)"
23037,"아이스밀크,더블비안코(롯데제과)"
23040,"아이스크림,월드콘(롯데제과)"
23042,"아이스크림,조안나(롯데제과)"
23060,"요구르트(액상),비피더스요구르트(딸기)(매일유업)"
23061,"요구르트(액상),비피더스요구르트(사과)(매일유업)"
23088,"우유,바나나맛우유(빙그레)"
23094,"요구르트(호상),요플레(딸기)(빙그레)"
23105,"요구르트(액상),메치니코프(사과)(한국야쿠르트)"
23109,"요구르트(호상),슈퍼100(딸기)(한국야쿠르트)"
23110,"요구르트(호상),슈퍼100(복숭아)(한국야쿠르트)"
23161,"요구르트(액상),쾌변요구르트(사과)(파스퇴르유업)"
23168,"우유,딸기우유(서울우유)"
23174,"우유,쵸코멸균우유(서울우유)"
23175,"우유,쵸코우유(서울우유)"
23177,"우유,커피우유(서울우유)"
26001,"과자,고래밥-매콤(오리온)"
26002,"과자,고래밥-볶음양념(오리온)"
26005,"과자,다이제(오리온)"
26006,"과자,다이제(초코)(오리온)"
26009,"젤리,마이구미(포도)(오리온)"
26012,"과자,미쯔블랙(오리온)"
26016,"과자,베베(오리온)"
26020,"젤리,왕꿈틀이(오리온)"
26025,"과자,초코송이(오리온)"
26027,"과자,초코칩쿠키(오리온)"
26028,"밀,밀가공식품,빵/과자류,초코파이(오리온)"
26029,"과자,촉촉한초코칩(오리온)"
26030,"카라멜,땅콩(오리온)"
26035,"초콜릿,투유-마일드(오리온)"
26039,"카스테라,후레시베리(오리온)"
26040,"초콜릿,가나(롯데제과)"
26042,"과자,꼬깔콘(고소)(롯데제과)"
26043,"아이스밀크,누크바(롯데제과)"
26044,"과자,마가렛트(롯데제과)"
26045,"사탕,목캔디(롯데제과)"
26046,"밀,밀가공식품,빵/과자류,초코파이,몽쉘통통(롯데)"
26048,"과자,빠다코코낫(롯데제과)"
26049,"과자,빼빼로(롯데제과)"
26053,"껌,자일리톨껌(롯데제과)"
26055,"사탕,스카치세가지맛(롯데제과)"
26056,"빙과,스크류바(롯데제과)"
26058,"과자,아몬드빼빼로(롯데제과)"
26059,"초콜릿,아몬드초콜릿(롯데제과)"
26061,"과자,애플쨈(롯데제과)"
26062,"과자,엄마손파이(롯데제과)"
26067,"과자,제크(롯데제과)"
26073,"밀,밀가공식품,빵/과자류,초코파이(롯데)"
26074,"과자,칙촉(롯데제과)"
26075,"카스테라,카스타드(롯데)"
26077,"초콜릿,크런키(롯데제과)"
26080,"과자,하비스트(롯데제과)"
26086,"과자,뻥이요(서울식품공업)"
26114,"과자,땅콩강정(오리온프리토레이)"
26121,"과자,오징어땅콩(오리온프리토레이)"
26122,"과자,치토스-매콤(오리온프리토레이)"
26123,"과자,치토스-바비큐(오리온프리토레이)"
26125,"과자,포카칩-소금맛(오리온프리토레이)"
26126,"과자,포카칩-양파맛(오리온프리토레이)"
26128,"과자,바나나킥(농심)"
26131,"과자,오징어집(농심)"
26132,"과자,올리고고구마깡(농심)"
26133,"과자,칼슘양파링(농심)"
26134,"과자,콘드로이친감자깡(농심)"
26135,"과자,키토산자갈치(농심)"
26137,"과자,꽃게랑(빙그레)"
26140,"과자,야채타임(빙그레)"
26150,"과자,맛동산(해태제과)"
26152,"과자,샤브레(해태제과)"
26157,"과자,에이스(해태제과)"
26158,"밀,밀가공식품,빵/과자류,초코파이,오예스(해태)"
26161,"사탕,자두캔디(해태제과)"
26166,"과자,홈런볼(쵸코)(해태제과)"
27007,"커피음료,프렌치카페카푸치노(남양유업)"
27013,"커피믹스,맥스웰커피믹스(동서식품)"
27014,"커피믹스,맥스웰하우스커피믹스(동서식품)"
27016,"커피,분말,맥심(동서식품)"
27017,"커피믹스,맥심디카페인커피믹스(동서식품)"
27018,"커피믹스,맥심모카골드커피믹스(동서식품)"
27019,"커피믹스,맥심커피믹스(동서식품)"
27067,"커피,분말,네스카페클래식(한국네슬레)"
27070,"코코아,네스퀵쵸콜릿맛(한국네슬레)"
27071,"홍차음료,분말,네스티(한국네슬레)"
27073,"커피,분말,테이스터스쵸이스(한국네슬레)"
27075,"커피믹스,테이스터스쵸이스커피믹스(한국네슬레)"
27079,"과일탄산음료,쿨피스(복숭아맛)(해태유업)"
27095,"오렌지,주스,아침에주스오렌지(서울우유)"
28010,"아몬드,칼몬드(우성식품)"
29012,"꿀,아카시아꿀(동서식품)"
50006,"과자,고소미(오리온)"
50009,"과자,국희땅콩샌드(크라운제과)"
50011,"과자,그레이스(크라운제과)"
50015,"빵,꿀호떡(샤니)"
50025,"과자,닭다리(농심)"
50029,"과자,땅콩크래커(해태제과)"
50061,"과자,라면땅"
50062,"과자,롯데샌드오리지날(롯데제과)"
50064,"과자,롤리폴리(해태제과)"
50075,"밀,밀가공식품,밀가루,백설밀가루(CJ)"
50085,"과자,버터링(해태제과)"
50086,"과자,버터와플(크라운제과)"
50092,"밀,밀가공식품,빵/과자류,초코파이,빅파이(크라운제과)"
50093,"과자,빈츠(롯데제과)"
50096,"과자,뽀또(크라운제과)"
50097,"과자,뿌셔뿌셔(오뚜기)"
50098,"과자,사또밥(삼양식품)"
50110,"빵,소보로빵(파리바게뜨)"
50117,"과자,쌀로별(기린)"
50118,"과자,쌀새우깡(농심)"
50119,"과자,씨리얼(롯데제과)"
50120,"과자,아이비(해태제과)"
50121,"과자,알새우칩(농심)"
50122,"과자,야채크래커V6(롯데제과)"
50125,"과자,예감(농심)"
50128,"과자,오감자(오리온)"
50130,"밀,밀가공식품,빵/과자류,초코파이,오뜨(오리온)"
50133,"과자,오징어땅콩볼(롯데제과)"
50134,"옥수수통조림,옥수수콘,스위트콘(대상)"
50145,"과자,죠리퐁(크라운제과)"
50148,"과자,짱구(삼양식품)"
50151,"과자,쫄병스낵(농심)"
50153,"밀,밀가공식품,빵/과자류,초코파이,찰떡파이(롯데제과)"
50156,"과자,참깨스틱"
50157,"과자,참크래커(크라운제과)"
50165,"과자,초코하임(크라운제과)"
50167,"과자,치즈샌드(크라운제과)"
50170,"과자,칸쵸(롯데제과)"
50175,"과자,콘칩(크라운제과)"
50191,"과자,포스틱(농심)"
50199,"빵,호두과자"
50201,"과자,후렌치파이,사과(해태제과)"
50210,"감자스낵,칩포테토(농심)"
50211,"감자스낵,프링글스오리지널(P&G)"
50213,"사탕,고려홍삼제리"
50220,"물엿/시럽,백설물엿(CJ)"
50236,"사탕,청포도맛사탕(롯데제과)"
50237,"사탕,츄파춥스"
50243,"설탕,백설탕(큐원)(삼양사)"
50244,"설탕,백설탕(CJ)"
50248,"설탕,황설탕(큐원)(삼양사)"
50251,"설탕,황설탕(CJ)"
50253,"젤리,양갱,연양갱(해태제과)"
50256,"물엿/시럽,백설올리고당(CJ)"
50257,"물엿/시럽,청정원올리고당(대상)"
50261,"초코바,스니커즈(Mars Foods)"
50266,"초콜릿,페레로로쉐(페레로로쉐)"
50267,"초콜릿,ABC초콜릿(롯데제과)"
50268,"카라멜,마이쮸(크라운제과)"
50270,"카라멜,새콤달콤(크라운제과)"
50316,"망고,주스,델몬트망고주스(롯데칠성음료)"
50317,"오렌지,주스,델몬트오렌지주스(롯데칠성음료)"
50318,"오렌지,주스,델몬트콜드오렌지주스(롯데칠성음료)"
50320,"포도,주스,델몬트포도주스(롯데칠성음료)"
50321,"딸기,잼,복음자리딸기잼(복음자리)"
50322,"딸기,잼,오뚜기딸기잼(오뚜기)"
50327,"오렌지,주스,미닛메이드오리지널오렌지100(한국코카콜라보틀링)"
50329,"석류,주스,석류원액"
50344,"과일음료/과즙음료,오렌지에이드"
50354,"귤,과일주스,제주감귤(롯데칠성음료)"
50507,"아이스밀크,거북이(롯데삼강)"
50509,"아이스크림,구구콘(롯데삼강)"
50512,"아이스크림,나뚜루(롯데)"
50513,"아이스크림,누가바(해태제과)"
50514,"빙과,더위사냥(빙그레)"
50515,"샤베트,돼지바(롯데삼강)"
50519,"빙과/샤베트,델몬트망고(롯데삼강)"
50520,"아이스밀크,메가톤바(롯데제과)"
50521,"아이스밀크,메로나(빙그레)"
50523,"빙과,바밤바(해태제과)"
50526,"아이스크림,부라보콘(해태제과)"
50527,"아이스밀크,붕어싸만코(빙그레)"
50533,"샤베트,비비빅(빙그레)"
50534,"샤베트,빠삐코(롯데삼강)"
50535,"아이스밀크,빵또아(빙그레)"
50536,"아이스밀크,빵빠레(롯데삼강)"
50537,"샤베트,뽕따(빙그레)"
50543,"아이스밀크,쌍쌍바(해태제과)"
50545,"아이스크림,엑설런트(빙그레)"
50546,"아이스밀크,엔초(빙그레)"
50548,"아이스밀크,옥동자(롯데제과)"
50549,"아이스밀크,와일드바디(롯데제과)"
50551,"샤베트,요맘때(빙그레)"
50555,"빙과,죠스바(롯데제과)"
50556,"아이스밀크,찰떡아이스(롯데제과)"
50557,"아이스크림,체리마루(해태제과)"
50562,"샤베트,캔디바(빙그레)"
50563,"아이스밀크,쿠앤크(빙그레)"
50564,"빙과,탱크보이(해태제과)"
50565,"아이스크림,투게더(빙그레)"
50566,"빙과,파워캡(빙그레)"
